pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_orbsmax,rowupdate
Kepler-20 c,Kepler-20,10.8541002,,,,,5489.0,0.914982,0.96,Transit,2011,,2017-03-28
Kepler-20 c,Kepler-20,10.854095934,,,,,5489.0,0.914982,0.96,Transit,2011,,2018-09-25
Kepler-20 c,Kepler-20,10.8540774435,,,,,5489.0,0.914982,0.96,Transit,2011,,2019-04-16
Kepler-20 c,Kepler-20,10.8540774,2.894,11.1,0.076,828.0,5495.0,0.9164,0.929,Transit,2011,0.0936,2023-04-17
Kepler-20 c,Kepler-20,10.854097835,3.04,,,,5569.0,0.93,0.95,Transit,2011,,2017-03-28
Kepler-20 c,Kepler-20,10.854097835,3.03,,0.0,765.0,5465.0,0.925,0.876,Transit,2011,0.0919,2014-11-21
Kepler-20 c,Kepler-20,10.854092,3.07,16.1,0.4,713.0,5455.0,0.944,0.912,Transit,2011,0.093,2017-03-28
Kepler-20 c,Kepler-20,10.8540894,3.17,,0.0,763.0,5443.0,0.939,0.901,Transit,2011,0.093,2013-10-28
Kepler-20 c,Kepler-20,10.85409784,2.88,13.55003079,0.0,,,,0.942,Transit,2011,0.0940486658,2024-02-21
Kepler-20 c,Kepler-20,10.854095934,2.99,,0.0,765.0,5465.0,0.925,0.876,Transit,2011,0.0919,2017-05-08
Kepler-20 c,Kepler-20,,2.868,,,,5508.0,0.887,,Transit,2011,,2018-09-04
Kepler-20 c,Kepler-20,10.854097835,3.03,,0.0,765.0,5465.0,0.925,0.876,Transit,2011,0.0919,2015-08-25
Kepler-20 c,Kepler-20,10.85409089,3.047,12.75,0.16,772.0,5495.0,0.9639,0.948,Transit,2011,0.0949,2017-03-28
Kepler-20 c,Kepler-20,10.854097835,2.88,,,,5508.0,0.88,0.942,Transit,2011,0.09408,2024-12-05
Kepler-20 c,Kepler-20,10.854097835,3.03,,0.0,765.0,5465.0,0.925,0.876,Transit,2011,0.0919,2014-11-18
Kepler-166 d,Kepler-166,1.554003928,1.58,,0.0,1326.0,5413.0,0.759,0.819,Transit,2016,0.0246,2015-08-25
Kepler-166 d,Kepler-166,1.55400389,,,,,5230.0,0.781826,0.89,Transit,2016,,2018-09-25
Kepler-166 d,Kepler-166,1.55400192,,,,,5230.0,0.781826,0.89,Transit,2016,,2016-07-26
Kepler-166 d,Kepler-166,1.554003928,1.73,,,,5350.0,0.83,0.88,Transit,2016,,2016-05-06
Kepler-166 d,Kepler-166,1.554003928,1.602,,,,5175.0,0.771,0.811,Transit,2016,0.02449,2024-12-05
Kepler-166 d,Kepler-166,1.554003928,1.58,,0.0,1326.0,5413.0,0.759,0.819,Transit,2016,0.0246,2014-11-18
Kepler-166 d,Kepler-166,1.554003928,1.58,,0.0,1326.0,5413.0,0.759,0.819,Transit,2016,0.0246,2014-11-21
Kepler-166 d,Kepler-166,1.5539980591,,,,,5230.0,0.781826,0.89,Transit,2016,,2019-04-16
Kepler-166 d,Kepler-166,1.554001,1.7,,0.0,1336.0,5432.0,0.78,0.879,Transit,2016,0.025,2013-10-28
Kepler-166 d,Kepler-166,,1.667,,,,5175.0,0.782,,Transit,2016,,2018-09-04
Kepler-166 d,Kepler-166,1.55400389,1.59,,0.0,1313.0,5409.0,0.746,0.835,Transit,2016,0.0246,2017-05-08
Kepler-52 b,Kepler-52,7.8774163,2.16,,0.0,553.0,4126.0,0.615,0.633,Transit,2012,0.0665,2017-05-08
Kepler-52 b,Kepler-52,7.87740709,2.33,,0.0,500.0,3898.0,0.54,0.56,Transit,2012,0.0639,2014-11-21
Kepler-52 b,Kepler-52,7.8773565,2.1,135.0,,,4075.0,0.52,0.54,Transit,2012,,2021-09-22
Kepler-52 b,Kepler-52,7.877,2.52,79.6,,,,0.623,0.66,Transit,2012,,2014-05-28
Kepler-52 b,Kepler-52,7.877416,,6.27,,,,0.621,0.633,Transit,2012,,2025-04-16
Kepler-52 b,Kepler-52,,2.516,,,,4127.0,0.623,0.66,Transit,2012,,2016-02-10
Kepler-52 b,Kepler-52,7.87761021,1.93,,,499.0,3898.0,0.54,0.56,Transit,2012,0.0637,2016-02-24
