pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,discoverymethod,disc_year,pl_orbsmax,rowupdate,pl_vol_earth,pl_mass_kg,pl_density,insolation_flux
Kepler-222 d,Kepler-222,28.08194365,3.74,,,797.0,5295.0,0.84,0.88,Transit,2014,,2016-05-06,56666479362068.02,,,
Kepler-222 d,Kepler-222,28.08194365,3.563,,,797.0,5315.0,0.801,0.933,Transit,2014,0.17673,2024-12-05,48995804333284.84,,,14.769039873670016
Kepler-222 d,Kepler-222,28.08185982,3.63,,0.0,522.0,5431.0,0.843,0.945,Transit,2014,0.1777,2017-05-08,51812112477982.86,,,17.639822677758108
Kepler-29 c,Kepler-29,13.2884,3.14,4.0,,797.0,5701.0,0.932,0.979,Transit,2011,,2020-05-04,33535158920423.723,2.388e+25,712088469795.6957,
Kepler-29 c,Kepler-29,13.28992,3.5,,0.0,759.0,5966.0,0.92,1.028,Transit,2011,0.111,2013-10-28,46442496559761.69,,,78.40746331619751
Kepler-29 c,Kepler-29,13.28689997,2.78,,0.0,715.0,5730.0,0.87,0.968,Transit,2011,0.1087,2017-05-08,23272648614498.996,,,62.21464326490574
Kepler-29 c,Kepler-29,,2.39,,,797.0,5378.0,0.748,,Transit,2011,,2020-05-04,14787853089017.965,,,
Kepler-29 c,Kepler-29,13.2907,2.9,95.3,,797.0,5750.0,0.96,1.0,Transit,2011,0.11,2020-05-04,26418333494951.074,5.68941e+26,21535839878345.574,75.0106942168563
Kepler-29 c,Kepler-29,13.28613,2.34,4.5,0.0,797.0,5378.0,0.732,0.761,Transit,2011,,2020-05-04,13879026237680.621,2.6865e+25,1935654529354.7566,
Kepler-179 b,Kepler-179,2.735903375,1.58,,0.0,1072.0,5294.0,0.761,0.849,Transit,2014,0.0361,2015-08-25,4272506040597.7085,,,314.4744512082397
Kepler-179 b,Kepler-179,2.735900074,1.56,,0.0,1075.0,5299.0,0.766,0.856,Transit,2014,0.0362,2017-05-08,4112304070423.8887,,,318.061268421345
Kepler-179 b,Kepler-179,2.735903375,1.708,,,797.0,5257.0,0.821,0.893,Transit,2014,0.03688,2024-12-05,5397280927555.208,,,340.9974315797018
Kepler-179 b,Kepler-179,2.735903375,1.58,,0.0,1072.0,5294.0,0.761,0.849,Transit,2014,0.0361,2014-11-18,4272506040597.7085,,,314.4744512082397
Kepler-179 b,Kepler-179,2.735903375,1.58,,0.0,1072.0,5294.0,0.761,0.849,Transit,2014,0.0361,2014-11-21,4272506040597.7085,,,314.4744512082397
Kepler-179 b,Kepler-179,,1.694,,,797.0,5257.0,0.83,,Transit,2014,,2018-09-04,5265645801466.11,,,
Kepler-179 b,Kepler-179,2.735903375,1.8,,,797.0,5475.0,0.87,0.91,Transit,2014,,2016-05-06,6317262739044.437,,,
Kepler-179 b,Kepler-179,2.735926,1.64,,,797.0,5302.0,0.759,,Transit,2014,0.036,2014-05-14,4777965050619.274,,,316.4697137017623
Kepler-179 b,Kepler-179,2.73589,1.7,,0.0,1056.0,5289.0,0.738,0.842,Transit,2014,0.036,2013-10-28,5321795582463.186,,,296.27615544604
Kepler-165 c,Kepler-165,15.31299,2.23,,,797.0,5211.0,0.77,,Transit,2014,0.11,2014-05-14,12012295679224.412,,,32.55180558288332
Kepler-165 c,Kepler-165,15.31296388,2.34,,0.0,581.0,5081.0,0.77,0.864,Transit,2014,0.1145,2017-05-08,13879026237680.621,,,27.155760324030684
Kepler-165 c,Kepler-165,,2.277,,,797.0,5100.0,0.748,,Transit,2014,,2018-09-04,12787937834733.041,,,
Kepler-165 c,Kepler-165,15.31297659,2.25,,,797.0,5108.0,0.76,0.8,Transit,2014,,2016-05-06,12338403787196.162,,,
Kepler-165 c,Kepler-165,15.31297659,2.24,,0.0,605.0,5208.0,0.755,0.733,Transit,2014,0.1088,2015-08-25,12174621818162.17,,,31.91646068483407
Kepler-165 c,Kepler-165,15.31297659,2.24,,0.0,605.0,5208.0,0.755,0.733,Transit,2014,0.1088,2014-11-21,12174621818162.17,,,31.91646068483407
Kepler-165 c,Kepler-165,15.31297659,2.24,,0.0,605.0,5208.0,0.755,0.733,Transit,2014,0.1088,2014-11-18,12174621818162.17,,,31.91646068483407
Kepler-165 c,Kepler-165,15.31307,2.49,,0.0,613.0,5236.0,0.79,0.79,Transit,2014,0.112,2013-10-28,16722818100787.041,,,33.690805856164324
Kepler-165 c,Kepler-165,15.31297659,2.186,,,797.0,5100.0,0.738,0.746,Transit,2014,0.1095,2024-12-05,11315191212665.03,,,27.685979946952006
Kepler-228 c,Kepler-228,4.13443005,2.84,,,797.0,5630.0,0.92,0.95,Transit,2014,,2016-05-06,24812266932171.547,,,
Kepler-228 c,Kepler-228,4.13443005,3.423,,,797.0,5660.0,1.104,1.006,Transit,2014,0.05053,2024-12-05,43444231772118.83,,,441.3671286024597
Kepler-228 c,Kepler-228,,3.268,,,797.0,5660.0,1.145,,Transit,2014,,2018-09-04,37805724755454.586,,,
Kepler-228 c,Kepler-228,4.134444,2.7,,,797.0,6043.0,1.014,,Transit,2014,0.052,2014-05-14,21320761744274.973,,,456.8507161430705
Kepler-228 c,Kepler-228,4.13443005,3.02,,0.0,1160.0,6046.0,0.972,1.053,Transit,2014,0.0514,2014-11-21,29835426700488.04,,,430.500414103927
